,text_final
80,"'comedian', 'chelsea', 'handler', 'admit', 'crush', 'new', 'york', 'gov', 'andrew', 'cuomo', 'since', 'accuse', 'sexual', 'misconduct', 'cuomo', 'previously', 'deny', 'accusation'"
81,"'exclusive', 'large', 'house', 'conservative', 'caucus', 'friday', 'release', 'video', 'many', 'time', 'progressive', 'call', 'defunding', 'police', 'push', 'back', 'democrat', 'late', 'effort', 'accuse', 'gop', 'party', 'want', 'cut', 'law'"
82,"'future', 'military', 'control', 'defense', 'high', 'sea', 'eventually', 'hand', 'unmanned', 'underwater', 'vehicle', 'expert', 'also', 'say', 'underwater', 'drone', 'use', 'revolutionize', 'finding', 'sunken', 'ship', 'ocean', 'research', 'fox', 'trey'"
83,"'pentagon', 'press', 'secretary', 'john', 'kirby', 'friday', 'describe', 'taliban', 'concern', 'advancement', 'afghanistan', 'military', 'pull', 'troop', 'country', 'year'"
84,"'convict', 'felon', 'eligible', 'vote', 'texas', 'fully', 'discharge', 'sentence', 'include', 'probation'"
85,"'nissan', 'pathfinder', 'design', 'little', 'rugged', 'model', 'replace', 'still', 'serious', 'vehicle', 'like', 'original'"
86,"'stefani', 'rossdale', 'marry', 'year', 'share', 'three', 'son', 'together'"
87,"'american', 'swimmer', 'michael', 'andrew', 'raise', 'eyebrow', 'thursday', 'say', 'unlikely', 'vaccinate', 'tokyo', 'olympics', 'official', 'prohibit', 'fan', 'attend', 'game'"
88,"'bride', 'groom', 'colorado', 'could', 'potentially', 'portion', 'wedding', 'comped', 'new', 'state', 'government', 'program'"
89,"'former', 'espn', 'personality', 'jemele', 'hill', 'blame', 'radio', 'host', 'clay', 'travis', 'failed', 'show', 'outkick', 'founder', 'friday', 'argue', 'wrong', 'espn', 'many', 'company', 'make', 'mistake', 'gauge', 'twitter', 'trend', 'create', 'content'"
90,"'president', 'biden', 'strike', 'force', 'meant', 'help', 'curb', 'crime', 'chicago', 'four', 'city', 'see', 'surge', 'violence', 'expect', 'come', 'windy', 'city', 'relatively', 'soon', 'mayor', 'lori', 'lightfoot', 'say', 'earlier', 'week'"
91,"'pope', 'francis', 'follow', 'footstep', 'john', 'paul', 'ii', 'deliver', 'weekly', 'sunday', 'blessing', 'greet', 'rome', 'hospital', 'recover', 'intestinal', 'surgery', 'vatican', 'say', 'friday'"
92,"'louisiana', 'native', 'zaila', 'already', 'multiple', 'guinness', 'world', 'record', 'name', 'crown', 'first', 'african', 'american', 'winner', 'scripps', 'national', 'spelling', 'bee', 'thursday', 'night'"
93,"'confederate', 'monument', 'help', 'spark', 'violent', 'white', 'supremacist', 'rally', 'charlottesville', 'set', 'come', 'saturday', 'city', 'announce'"
94,"'bug', 'expert', 'drop', 'common', 'name', 'destructive', 'insect', 'consider', 'ethnic', 'slur', 'gypsy', 'moth'"
95,"'grizzly', 'bear', 'pull', 'california', 'woman', 'tent', 'kill', 'earlier', 'week', 'fatally', 'shot', 'early', 'friday', 'wildlife', 'official', 'use', 'night', 'vision', 'goggles', 'stake', 'chicken', 'coop', 'bear', 'raid', 'near', 'town', 'woman'"
96,"'first', 'lady', 'jill', 'biden', 'bill', 'stevenson', 'say', 'interview', 'week', 'feel', 'like', 'miss', 'link', 'mystery', 'case', 'involve', 'kathie', 'durst'"
97,"'phoenix', 'sun', 'beat', 'milwaukee', 'buck', 'last', 'night', 'game', 'two', 'nba', 'final', 'cover', 'point', 'spread', 'go', 'series'"
98,"'production', 'begin', 'series', 'new', 'york', 'city'"
99,"'ol', 'li', 'city', 'reboot', 'first', 'look', 'sarah', 'jessica', 'parker', 'cynthia', 'nixon', 'kristin', 'davis', 'return', 'fox', 'news', 'li', 'like', 'first', 'photo', 'city', 'revival', 'series', 'new', 'york', 'post', 'li', 'sex', 'city', 'hbo', 'max'"
